Tipo de servicio;Área del servicio;Categoria padre;Categoria Hijo;Sintoma / Detalle;Prioridad;SLA /ANS (Min);Recepción del caso;Pruebas de descartes;Escalamiento 1;Escalamiento 2;¿Susceptible de cierre en mesa?;Observaciones
Incidente;Aplicaciones de negocio;CEGID;Error dispositivo fiscal;CEGID.Error dispositivo fiscal;SLA CRÍTICO;30;Mesa de ayuda;I-6109-26-Instructivo Error Dispositivo Fiscal;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Indisponibilidad del servicio;CEGID.Indisponibilidad del servicio;SLA CRÍTICO;30;Mesa de ayuda;;"Camilo Florian 
Santiago Montes";Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Bloqueo de usuario;CEGID.Bloqueo de usuario;SLA CRÍTICO;30;Mesa de ayuda;;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Error configuración;CEGID.Error configuración;SLA CRÍTICO;30;Mesa de ayuda;;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Error FOS 5;CEGID.Error FOS 5;SLA CRÍTICO;30;Mesa de ayuda;I-6109-73-Instructivo Error Cegid F0S5;"Camilo Florian 
Santiago Montes";Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Error notas entrega;CEGID.Error notas entrega;SLA CRÍTICO;30;Mesa de ayuda;I-6109-85-Instructivo Cargar Nota de Entrega;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;No inicia Front;CEGID.No inicia Front;SLA CRÍTICO;30;Mesa de ayuda;I-6109-71-Instructivo Instalar CEGID;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Error condición comercial;CEGID.Error condición comercial;SLA CRÍTICO;30;Mesa de ayuda;;Michael Aristizabal - Analista BI;Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Error desconocido;CEGID.Error desconocido;SLA CRÍTICO;30;Mesa de ayuda;;"Camilo Florian 
Santiago Montes";Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Crear PLU faltante Cedi;CEGID.Crear PLU faltante Cedi;SLA CRÍTICO;30;Mesa de ayuda;I-6109-57-Instructivo Crear y Cargar Plu Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Crear PlU faltante Recuperación;CEGID.Crear PlU faltante Recuperación;SLA CRÍTICO;30;Mesa de ayuda;I-6109-57-Instructivo Crear y Cargar Plu Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Acceso a Cegid;CEGID.Acceso a Cegid;SLA CRÍTICO;30;Mesa de ayuda;I-6109-84-Instructivo  de Acceso a Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;No imprime Z;CEGID.No imprime Z;SLA CRÍTICO;30;Mesa de ayuda;I-6109-11-Instructivo No Imprime Z;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
Incidente;Aplicaciones de negocio;CEGID;Diferencia precio - Etiqueta;CEGID.Diferencia precio - Etiqueta;SLA CRÍTICO;30;Mesa de ayuda;Este error lo revisa el equipo de aplicaciones y bases de datos ;Juan Diego Mercado - Analista de aplicaciones;Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Falla al cargar crédito;CEGID.Falla al cargar crédito;SLA CRÍTICO;30;Mesa de ayuda;"Este tipo de caso es cuando el crédito o abono quedo cargado en Kaiowa pero no trae la información a Cegid:
*Si el crédito o abono es del mismo día la asesora puede eliminar el crédito en Kaiowa y volverlo a realizar 
*Si el crédito o abono es de días posteriores la asesora de tienda debe enviar el correo a centrodeservicios@stop.com.co para que el agente de mesa de ayuda pueda enviarlo a  servicioalcliente@kaiowa.co solicitando la eliminación del crédito o abono, una vez Kaiowa le de respuesta al agenda de mesa de ayuda se debe realizar la devolución en Cegid, poner en contacto con la asesora de tienda para que ella pueda realizar de nuevo el proceso ya sea de crédito o abono.";Juan Jaramillo - Analista de aplicaciones;Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Falla al cargar abono;CEGID.Falla al cargar abono;SLA CRÍTICO;30;Mesa de ayuda;"Este tipo de caso es cuando el crédito o abono quedo cargado en Kaiowa pero no trae la información a Cegid:
*Si el crédito o abono es del mismo día la asesora puede eliminar el crédito en Kaiowa y volverlo a realizar 
*Si el crédito o abono es de días posteriores la asesora de tienda debe enviar el correo a centrodeservicios@stop.com.co para que el agente de mesa de ayuda pueda enviarlo a  servicioalcliente@kaiowa.co solicitando la eliminación del crédito o abono, una vez Kaiowa le de respuesta al agenda de mesa de ayuda se debe realizar la devolución en Cegid, poner en contacto con la asesora de tienda para que ella pueda realizar de nuevo el proceso ya sea de crédito o abono.";Juan Jaramillo - Analista de aplicaciones;Proveedor;NO;
Incidente;Aplicaciones de negocio;CEGID;Error en informe diario de ventas;CEGID.Error en informe diario de ventas;SLA CRÍTICO;30;Mesa de ayuda;I-6109-68-Instructivo Error Informe Diario De Ventas;"Camilo Florian 
Santiago Montes";Proveedor;NO;
Solicitud;Aplicaciones de negocio;CEGID;Crear nuevo cargo en CEGID;CEGID.Crear nuevo cargo en CEGID;SLA ALTO;240;Mesa de ayuda;I-6109-41-Instructivo Creación de Nuevo Cargo en Cegid;Mesa de ayuda;"Camilo Florian 
Santiago Montes";SI;
